sample1	sample2	t_d
K243_R1	K243-R13	0.2377782263461068
K243_R1	K243-R20	0.2083392006031437
K243_R1	K243-R3	0.33671469428943956
K243_R1	K243_R15	0.18667909878778466
K243_R1	K243_R21	0.35535958638137954
K243_R1	K243_R23	0.39447782866969117
K243_R1	K243_R24	0.16081025485993738
K243_R1	K243_R5	0.2734618864388839
K243_R1	K243_R6	0.23544519234840922
K243_R1	K243_R7	0.35419948139898894
K243_R15	K243-R12	0.1546983448662823
K243_R15	K243-R13	0.12003036804186373
K243_R15	K243-R20	0.13753063631695983
K243_R15	K243-R3	0.2505655538369945
K243_R15	K243_R1	0.18667909878778466
K243_R15	K243_R21	0.2258979282761574
K243_R15	K243_R23	0.32875379248966197
K243_R15	K243_R24	0.18624897872099266
K243_R15	K243_R5	0.2282686162338623
K243_R15	K243_R6	0.13918503748090605
K243_R15	K243_R7	0.25681493369961383
K243_R21	K243-R12	0.19627430143931834
K243_R21	K243-R13	0.2530012197078517
K243_R21	K243-R20	0.21806520909360527
K243_R21	K243-R3	0.2047395959781395
K243_R21	K243_R1	0.35535958638137954
K243_R21	K243_R15	0.2258979282761574
K243_R21	K243_R23	0.21953737357427572
K243_R21	K243_R24	0.3811950647159301
K243_R21	K243_R5	0.2560419897340991
K243_R21	K243_R6	0.18139640518591704
K243_R21	K243_R7	0.18409259133067413
K243_R23	K243-R12	0.31834802349222435
K243_R23	K243-R13	0.33781328772065333
K243_R23	K243-R20	0.3048665755121899
K243_R23	K243-R3	0.27753129461820647
K243_R23	K243_R1	0.39447782866969117
K243_R23	K243_R15	0.32875379248966197
K243_R23	K243_R21	0.21953737357427572
K243_R23	K243_R24	0.4220194854131324
K243_R23	K243_R5	0.2739920639547012
K243_R23	K243_R6	0.23100158779936597
K243_R23	K243_R7	0.27359359382652826
K243_R24	K243-R12	0.2743903917901884
K243_R24	K243-R13	0.18686364576040793
K243_R24	K243-R20	0.2116547590920944
K243_R24	K243-R3	0.35167396221000913
K243_R24	K243_R1	0.16081025485993738
K243_R24	K243_R15	0.18624897872099266
K243_R24	K243_R21	0.3811950647159301
K243_R24	K243_R23	0.4220194854131324
K243_R24	K243_R5	0.3242669131773852
K243_R24	K243_R6	0.25585163902331864
K243_R24	K243_R7	0.37153453281692517
K243_R5	K243-R12	0.2304097794521276
K243_R5	K243-R13	0.25396773859491384
K243_R5	K243-R20	0.20984165603944838
K243_R5	K243-R3	0.27400166019563543
K243_R5	K243_R1	0.2734618864388839
K243_R5	K243_R15	0.2282686162338623
K243_R5	K243_R21	0.2560419897340991
K243_R5	K243_R23	0.2739920639547012
K243_R5	K243_R24	0.3242669131773852
K243_R5	K243_R6	0.11870840941106375
K243_R5	K243_R7	0.15592786297396144
K243_R6	K243-R12	0.1908207582153525
K243_R6	K243-R13	0.195652739446174
K243_R6	K243-R20	0.14791368604043142
K243_R6	K243-R3	0.2066158594446159
K243_R6	K243_R1	0.23544519234840922
K243_R6	K243_R15	0.13918503748090605
K243_R6	K243_R21	0.18139640518591704
K243_R6	K243_R23	0.23100158779936597
K243_R6	K243_R24	0.25585163902331864
K243_R6	K243_R5	0.11870840941106375
K243_R6	K243_R7	0.18816761060136888
K243_R7	K243-R12	0.19017822381943272
K243_R7	K243-R13	0.24402808517936203
K243_R7	K243-R20	0.21819762158028888
K243_R7	K243-R3	0.22717273302755958
K243_R7	K243_R1	0.35419948139898894
K243_R7	K243_R15	0.25681493369961383
K243_R7	K243_R21	0.18409259133067413
K243_R7	K243_R23	0.27359359382652826
K243_R7	K243_R24	0.37153453281692517
K243_R7	K243_R5	0.15592786297396144
K243_R7	K243_R6	0.18816761060136888
K243_N1t1	K243-R12	0.47107172877754633
K243_N1t1	K243-R13	0.48959389919194096
K243_N1t1	K243-R20	0.4905774248751583
K243_N1t1	K243-R3	0.596808996754487
K243_N1t1	K243_R1	0.5784647283043565
K243_N1t1	K243_R15	0.5606875823639531
K243_N1t1	K243_R21	0.6284320226855886
K243_N1t1	K243_R23	0.7552521131449399
K243_N1t1	K243_R24	0.5594032516877097
K243_N1t1	K243_R5	0.5250717087841363
K243_N1t1	K243_R6	0.6049656366185074
K243_N1t1	K243_R7	0.5383952849400103
K265-R1	K265-R5	0.13022024808549737
K265-R1	K265-R7	0.19478827879921246
K265-R5	K265-R1	0.13022024808549737
K265-R5	K265-R7	0.08562374459760891
K265-R7	K265-R1	0.19478827879921246
K265-R7	K265-R5	0.08562374459760891
K265_N1t1	K265-R1	0.4653702139425201
