gene	t	p	model_p	fdr	variable
LGALS2	-0.5644977005440893	0.5734033509511496	0.17541040111262468	0.6453478173950643	is_normal
LGALS3	-5.635241854412565	1.061507640088127e-7	1.365414484009674e-13	5.679106174685606e-7	is_normal
LGALS3BP	-1.2801674052541212	0.2028014185711482	7.746548916450659e-7	0.2726722250266788	is_normal
LGALS4	0.8467937995050037	0.3986904963501797	1.0851077049121409e-16	0.47925842144218483	is_normal
LGALS8	-1.0202229853166769	0.30954712792002115	0.0036067936563066666	0.38892101699794385	is_normal
LGALS8-AS1	0.20195676690332964	0.8402711441203153	0.7336360684655869	0.87536722208584306	is_normal
LGALS9	-11.67062553977106	7.0088393834493115e-22	1.6124823445169698e-24	3.8282389376576626e-20	is_normal
LGALSL	0.006764812868911518	0.9946130333377126	1.397358209171733e-7	0.996026639126993	is_normal
LGI2	4.601911238020932	9.943244933022169e-6	5.866093767994993e-25	3.7167163818607e-5	is_normal
LGI4	-5.346965994706482	3.9758665266995873e-7	3.647339692630533e-15	1.927344722884437e-6	is_normal
LGMN	-2.6040648428923356	0.010301616078261105	0.2503069400765096	0.020159751947626092	is_normal
LGR4	9.550759748157517	1.1989533167188423e-16	1.7534967921878973e-17	2.59933079064645e-15	is_normal
LHFPL2	-14.403821165362771	1.477049615464602e-28	3.8213850158007835e-41	3.7015890616641455e-26	is_normal
LHFPL3-AS1	6.034622915624123	1.602007091919395e-8	5.183504451446046e-16	9.785645400662382e-8	is_normal
LHFPL3-AS2	6.4282831607934785	2.331272411876996e-9	2.450031585327276e-25	1.611986792353809e-8	is_normal
LHPP	4.233405111492081	4.3586448576532235e-5	9.311498778784188e-14	1.4367724756502744e-4	is_normal
LHX4	3.739067159365393	2.7738562015895186e-4	0.049089796341474	7.754251456615651e-4	is_normal
LHX6	-3.9130523702576854	1.4722777301667397e-4	4.6465523229892073e-4	4.3513711773300536e-4	is_normal
LIAS	1.8902030505379845	0.060991908193307964	0.15658525834955717	0.09649690920176218	is_normal
LIF	-0.29239862118160254	0.7704552878844849	1.617154775190818e-5	0.8173798025196237	is_normal
LIFR	10.683402459815522	1.94481939102638e-19	1.1278033618422127e-23	6.903374019733942e-18	is_normal
LIFR-AS1	11.798980381777897	3.375209413458311e-22	8.151754392122438e-23	1.9735871806827602e-20	is_normal
LIG1	-5.237663840663298	6.491804752813992e-7	6.977386668847325e-7	3.033239806918262e-6	is_normal
LIG3	0.9824271440036435	0.3277427626031416	7.464981784187533e-11	0.40792713395190533	is_normal
LIG4	1.819463725963059	0.07117777143741998	6.50347923113291e-5	0.11036940527025993	is_normal
LILRA1	-5.820435751837468	4.454564767293954e-8	2.2522053743754516e-10	2.5383633926690824e-7	is_normal
LILRA2	-7.822589580812342	1.6802935376715028e-12	2.851437210809024e-18	1.883746740880415e-11	is_normal
LILRA4	-5.247413767281992	6.215491640999646e-7	3.8215620424289265e-7	2.9147656640588027e-6	is_normal
LILRA5	-6.632929952448326	8.367732789649566e-10	1.0366057880641371e-12	6.199689299250351e-9	is_normal
LILRA6	-8.711773454544444	1.3062795652368845e-14	3.024695284552596e-25	1.9965392227026223e-13	is_normal
LILRB1	-13.523101410563745	1.9788226108362507e-26	2.3717047512606496e-32	2.9047466908233794e-24	is_normal
LILRB2	-10.362555298278247	1.207524177766428e-18	3.870543804063261e-20	3.756386470879582e-17	is_normal
LILRB3	-4.5375509501742854	1.2945694832199394e-5	9.408193748070195e-4	4.710320980515204e-5	is_normal
LILRB4	-12.039637587218492	8.587012258291821e-23	6.686448817316214e-32	5.5810064292067295e-21	is_normal
LILRB5	-2.7111729849650765	0.007625335556442462	0.9705899659771702	0.015465778448674033	is_normal
LIMA1	2.097593913025911	0.03790788618075076	0.030543779220415075	0.06361313749373614	is_normal
LIMCH1	6.068065037395186	1.3632492306080858e-8	1.7287542641056196e-19	8.418452304000502e-8	is_normal
LIMD1	-4.477305342799287	1.653681403312127e-5	2.3580021000938295e-12	5.883281579266472e-5	is_normal
LIMD2	-9.623333305135723	7.96304034263088e-17	3.6737583822122523e-16	1.78402487294681e-15	is_normal
LIMK1	-3.8837506103109285	1.640300003461605e-4	0.051819037319989845	4.7986522002866803e-4	is_normal
